Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
7926971219,"Oct 6, 2022, 11:19:20 PM",Evening Run,Run,,979,2.43,177.0,41,false,,,activities/8474917700.fit.gz,,,979.0,971.0,2432.77001953125,3.266007423400879,2.505427598953247,0.0,0.30000001192092896,129.89999389648438,130.89999389648438,2.6402640342712402,-0.01233162172138691,,,,,,165.57888793945312,,,199.0,,,41.0,,,,,,,,,,,,,0.0,,1.0,2432.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.4849541187286377,0.0,,,,,,,,,,,,""
7926971797,"Oct 1, 2022, 1:14:11 PM",Morning Run,Run,,1876,4.56,193.0,78,false,,,activities/8474918374.fit.gz,,,1876.0,1819.0,4563.93994140625,3.783984422683716,2.509037971496582,16.222536087036133,18.122535705566406,128.1999969482422,139.10000610351562,4.089967250823975,-0.04163069650530815,,,,,,167.99325561523438,,,325.0,,,78.0,,,,,,,,,,,,,0.0,,1.0,4572.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.4328038692474365,0.0,,,,,,,,,,,,""
7926971851,"Sep 30, 2022, 10:30:53 PM",Afternoon Run,Run,,857,2.19,175.0,17,false,,,activities/8474918439.fit.gz,,,857.0,854.0,2193.669921875,4.426025390625,2.5687003135681152,0.0,-0.30000001192092896,129.89999389648438,131.1999969482422,1.6420289278030396,0.013675712049007416,,,,,,152.03091430664062,,,147.0,,,17.0,,,,,,,,,,,,,0.0,,1.0,2195.199951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.5597083568573,0.0,,,,,,,,,,,,""
8002444329,"Oct 22, 2022, 1:03:30 PM",Morning Run,Run,,1872,5.01,172.0,59,false,,,activities/8561166073.fit.gz,,,1872.0,1853.0,5010.6201171875,3.833984375,2.7040584087371826,30.67748260498047,31.17748260498047,163.10000610351562,177.60000610351562,10.848134994506836,-0.009978804737329483,,,,,,160.9155731201172,,,331.0,,,59.0,,,,,,,,,,,,,0.0,,1.0,5045.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.6766133308410645,0.0,,,,,,,,,,,,""
8072862496,"Nov 5, 2022, 1:17:01 PM",Morning Run,Run,,2389,6.45,177.0,110,false,,,activities/8641114659.fit.gz,,,2389.0,2381.0,6449.39990234375,4.075976371765137,2.708693742752075,8.595237731933594,8.795238494873047,128.1999969482422,131.10000610351562,11.426639556884766,-0.003101063659414649,,,,,,167.74021911621094,,,402.0,,,110.0,,,,,,,,,,,,,0.0,,1.0,6460.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.6996233463287354,0.0,,,,,,,,,,,,""
8089361294,"Nov 8, 2022, 1:38:44 PM",Morning Run,Run,,1907,5.10,182.0,96,false,,,activities/8659858975.fit.gz,,,1907.0,1876.0,5100.759765625,5.774023532867432,2.7189550399780273,5.986607551574707,6.086607456207275,128.1999969482422,131.3000030517578,5.92885684967041,-0.0019604922272264957,,,,,,170.3754425048828,,,312.0,,,96.0,,,,,,,,,,,,,0.0,,1.0,5108.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.6747560501098633,0.0,,,,,,,,,,,,""
8112500485,"Nov 13, 2022, 1:31:21 PM",Morning Run,Run,,3376,10.07,185.0,192,false,,,activities/8686033484.fit.gz,,,3376.0,3366.0,10074.2802734375,4.529992580413818,2.992953300476074,52.011844635009766,52.011844635009766,128.1999969482422,153.8000030517578,6.451700210571289,0.0,,,,,,173.493896484375,,,665.0,,,192.0,,,,,,,,,,,,,0.0,,1.0,10119.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.9840879440307617,0.0,,,,,,,,,,,,""
8156005110,"Nov 23, 2022, 12:33:10 AM",Evening Run,Run,,2232,6.46,178.0,108,false,,,activities/8735262134.fit.gz,,,2232.0,2174.0,6459.919921875,4.456006050109863,2.9714443683624268,7.592857360839844,5.892857074737549,136.8000030517578,142.10000610351562,3.1487810611724854,0.026316115632653236,,,,,,170.18223571777344,,,405.0,,,108.0,,,,,,,,,,,,,0.0,,1.0,6475.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.8942294120788574,0.0,,,,,,,,,,,,""
8163357863,"Nov 24, 2022, 3:00:29 PM",Morning Run,Run,,4243,12.66,179.0,251,false,,,activities/8743504315.fit.gz,,,4243.0,4235.0,12667.099609375,5.921972751617432,2.9910507202148438,24.46678924560547,23.866788864135742,127.4000015258789,132.0,10.204131126403809,0.004736680071800947,,,,,,174.35772705078125,,,781.0,,,251.0,,,,,,,,,,,,,0.0,,1.0,12697.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.9854111671447754,0.0,,,,,,,,,,,,""
8188609757,"Nov 30, 2022, 12:29:11 AM",Evening Run,Run,"",1814,5.10,178.0,65,false,,Saucony Endorphin Pro 3 Race shoes,activities/8771984907.fit.gz,,,1814.0,1814.0,5106.4501953125,4.10205078125,2.8150222301483154,17.20001220703125,17.600000381469727,130.1999969482422,135.8000030517578,6.953996658325195,-0.007833409123122692,,,,,,158.02276611328125,,,310.0,,,65.0,,,,,,,,,,,0.0,,0.0,,1.0,5134.89990234375,,,,,,,,,,,,,,,,12090302.0,,,,,,,,,,0.0,2.8150222301483154,0.0,,,,,,,,,,,,""
